,phrase_id,doc_id,text,lemma,numbers,cases,relations,heads,pairs,relation,head,final_number,final_case
535,52360,101170,ziemi lubelskiej,ziemia lubelska,"[['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen']]",['agreement'],['ziemia'],"[('ziemi', 'lubelskiej')]",agreement,ziemia,sg,dat
537,352215,101170,kampanii ruskiej,kampania ruska,"[['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen']]",['agreement'],['kampania'],"[('kampanii', 'ruskiej')]",agreement,kampania,sg,gen
537,352215,101170,kampanii ruskiej,kampania ruska,"[['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen']]",['agreement'],['kampania'],"[('kampanii', 'ruskiej')]",agreement,kampania,sg,loc
537,352215,101170,kampanii ruskiej,kampania ruska,"[['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen']]",['agreement'],['kampania'],"[('kampanii', 'ruskiej')]",agreement,kampania,sg,dat
538,52326,101170,Kazimierza Wielkiego,Kazimierz Wielki,"[['sg', 'sg']]","[['acc', 'gen']]",['agreement'],['Kazimierz'],"[('Kazimierza', 'Wielkiego')]",agreement,Kazimierz,sg,acc
538,52326,101170,Kazimierza Wielkiego,Kazimierz Wielki,"[['sg', 'sg']]","[['acc', 'gen']]",['agreement'],['Kazimierz'],"[('Kazimierza', 'Wielkiego')]",agreement,Kazimierz,sg,gen
541,99809,101171,Placu Centralnego,Plac Centralny,['sg'],['gen'],['agreement'],['Plac'],"[('Placu', 'Centralnego')]",agreement,Plac,sg,gen
543,99808,101171,Nowej Hucie,Nowa Huta,"[['sg', 'sg']]","[['loc', 'dat']]",['agreement'],['Nowa'],"[('Nowej', 'Hucie')]",agreement,Nowa,sg,loc
543,99808,101171,Nowej Hucie,Nowa Huta,"[['sg', 'sg']]","[['loc', 'dat']]",['agreement'],['Nowa'],"[('Nowej', 'Hucie')]",agreement,Nowa,sg,dat
544,99810,101171,Aleją Róż,Aleja Róż,[['sg']],[['inst']],['government'],['Aleja'],"[('Aleją', 'Róż')]",government,Aleja,sg,inst
547,307090,101172,II wojnie światowej,II wojna światowa,"[['sg', 'sg'], ['sg', 'sg']]","[['loc', 'dat'], ['loc', 'dat']]","['government', 'agreement']","['wojna', 'wojna']","[('II', 'wojnie'), ('wojnie', 'światowej')]",government,wojna,sg,loc
547,307090,101172,II wojnie światowej,II wojna światowa,"[['sg', 'sg'], ['sg', 'sg']]","[['loc', 'dat'], ['loc', 'dat']]","['government', 'agreement']","['wojna', 'wojna']","[('II', 'wojnie'), ('wojnie', 'światowej')]",government,wojna,sg,dat
550,52378,101172,Oceanem Atlantyckim,Ocean Atlantycki,['sg'],['inst'],['agreement'],['Ocean'],"[('Oceanem', 'Atlantyckim')]",agreement,Ocean,sg,inst
553,52386,101172,Azji Dalekowschodniej,Azja Dalekowschodnia,"[['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen']]",['agreement'],['Azja'],"[('Azji', 'Dalekowschodniej')]",agreement,Azja,sg,gen
553,52386,101172,Azji Dalekowschodniej,Azja Dalekowschodnia,"[['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen']]",['agreement'],['Azja'],"[('Azji', 'Dalekowschodniej')]",agreement,Azja,sg,loc
553,52386,101172,Azji Dalekowschodniej,Azja Dalekowschodnia,"[['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen']]",['agreement'],['Azja'],"[('Azji', 'Dalekowschodniej')]",agreement,Azja,sg,dat
555,352293,101173,Mistrzostwach Świata w Narciarstwie Klasycznym,Mistrzostwa Świata w Narciarstwie Klasycznym,"[['pl'], None, None, 'sg']","[['loc'], None, None, 'loc']","['government', None, None, 'agreement']","['Mistrzostwa', None, None, 'Narciarstwie']","[('Mistrzostwach', 'Świata'), ('Świata', 'w'), ('w', 'Narciarstwie'), ('Narciarstwie', 'Klasycznym')]",government,Mistrzostwa,pl,loc
560,52404,101175,Partii Pracy,Partia Pracy,"[['sg', 'sg', 'sg']]","[['gen', 'loc', 'dat']]",['agreement'],['Partia'],"[('Partii', 'Pracy')]",agreement,Partia,sg,loc
560,52404,101175,Partii Pracy,Partia Pracy,"[['sg', 'sg', 'sg']]","[['gen', 'loc', 'dat']]",['agreement'],['Partia'],"[('Partii', 'Pracy')]",agreement,Partia,sg,dat
560,52404,101175,Partii Pracy,Partia Pracy,"[['sg', 'sg', 'sg']]","[['gen', 'loc', 'dat']]",['agreement'],['Partia'],"[('Partii', 'Pracy')]",agreement,Partia,sg,gen
561,52403,101175,Partii Liberalnej,Partia Liberalna,"[['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen']]",['agreement'],['Partia'],"[('Partii', 'Liberalnej')]",agreement,Partia,sg,gen
561,52403,101175,Partii Liberalnej,Partia Liberalna,"[['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen']]",['agreement'],['Partia'],"[('Partii', 'Liberalnej')]",agreement,Partia,sg,loc
561,52403,101175,Partii Liberalnej,Partia Liberalna,"[['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen']]",['agreement'],['Partia'],"[('Partii', 'Liberalnej')]",agreement,Partia,sg,dat
562,352303,101175,związkami zawodowymi,związek zawodowy,['pl'],['inst'],['agreement'],['związek'],"[('związkami', 'zawodowymi')]",agreement,związek,pl,inst
563,52408,101175,Kongresie Związków Zawodowych,Kongres Związków Zawodowych,"[['sg', 'sg'], ['pl', 'pl']]","[['voc', 'loc'], ['acc', 'gen']]","['government', 'agreement']","['Kongres', 'Związków']","[('Kongresie', 'Związków'), ('Związków', 'Zawodowych')]",government,Kongres,sg,voc
563,52408,101175,Kongresie Związków Zawodowych,Kongres Związków Zawodowych,"[['sg', 'sg'], ['pl', 'pl']]","[['voc', 'loc'], ['acc', 'gen']]","['government', 'agreement']","['Kongres', 'Związków']","[('Kongresie', 'Związków'), ('Związków', 'Zawodowych')]",government,Kongres,sg,loc
564,52430,101175,Tony'ego Blaira,Tony Blair,"[['sg', 'sg']]","[['acc', 'gen']]",['agreement'],['Blair'],"[(""Tony'ego"", 'Blaira')]",agreement,Blair,sg,acc
564,52430,101175,Tony'ego Blaira,Tony Blair,"[['sg', 'sg']]","[['acc', 'gen']]",['agreement'],['Blair'],"[(""Tony'ego"", 'Blaira')]",agreement,Blair,sg,gen
566,52433,101175,Izbie Gmin,Izba Gmin,"[['sg', 'sg']]","[['loc', 'dat']]",['government'],['Izba'],"[('Izbie', 'Gmin')]",government,Izba,sg,loc
566,52433,101175,Izbie Gmin,Izba Gmin,"[['sg', 'sg']]","[['loc', 'dat']]",['government'],['Izba'],"[('Izbie', 'Gmin')]",government,Izba,sg,dat
568,352302,101175,trzeciej drogi,trzecia droga,['sg'],['gen'],['agreement'],['trzecia'],"[('trzeciej', 'drogi')]",agreement,trzecia,sg,gen
569,52425,101175,Jamesa Ramsaya McDonalda,James Ramsay McDonald,"[['sg', 'sg'], ['sg', 'sg']]","[['acc', 'gen'], ['acc', 'gen']]","['agreement', 'agreement']","['James', 'McDonald']","[('Jamesa', 'Ramsaya'), ('Ramsaya', 'McDonalda')]",agreement,James,sg,acc
569,52425,101175,Jamesa Ramsaya McDonalda,James Ramsay McDonald,"[['sg', 'sg'], ['sg', 'sg']]","[['acc', 'gen'], ['acc', 'gen']]","['agreement', 'agreement']","['James', 'McDonald']","[('Jamesa', 'Ramsaya'), ('Ramsaya', 'McDonalda')]",agreement,James,sg,gen
570,52432,101175,Izbie Lordów,Izba Lordów,"[['sg', 'sg']]","[['loc', 'dat']]",['government'],['Izba'],"[('Izbie', 'Lordów')]",government,Izba,sg,loc
570,52432,101175,Izbie Lordów,Izba Lordów,"[['sg', 'sg']]","[['loc', 'dat']]",['government'],['Izba'],"[('Izbie', 'Lordów')]",government,Izba,sg,dat
577,352306,101176,kortach ziemnych,korty ziemne,['pl'],['loc'],['agreement'],['korty'],"[('kortach', 'ziemnych')]",agreement,korty,pl,loc
578,351972,101177,Kwiat bauhinii,kwiat bauhinii,"[['sg', 'sg']]","[['acc', 'nom']]",['government'],['kwiat'],"[('Kwiat', 'bauhinii')]",government,kwiat,sg,acc
578,351972,101177,Kwiat bauhinii,kwiat bauhinii,"[['sg', 'sg']]","[['acc', 'nom']]",['government'],['kwiat'],"[('Kwiat', 'bauhinii')]",government,kwiat,sg,nom
579,52458,101177,Wielką Brytanię,Wielka Brytania,['sg'],['acc'],['agreement'],['Brytania'],"[('Wielką', 'Brytanię')]",agreement,Brytania,sg,acc
581,52460,101177,Chińskiej Republiki Ludowej,Chińska Republika Ludowa,"['sg', 'sg']","['gen', 'gen']","['agreement', 'agreement']","['Republika', 'Republika']","[('Chińskiej', 'Republiki'), ('Republiki', 'Ludowej')]",agreement,Republika,sg,gen
586,305264,101179,Unii Lubelskiej,Unia Lubelska,"[['sg', 'sg', 'sg']]","[['gen', 'loc', 'dat']]",['agreement'],['Unia'],"[('Unii', 'Lubelskiej')]",agreement,Unia,sg,loc
586,305264,101179,Unii Lubelskiej,Unia Lubelska,"[['sg', 'sg', 'sg']]","[['gen', 'loc', 'dat']]",['agreement'],['Unia'],"[('Unii', 'Lubelskiej')]",agreement,Unia,sg,dat
586,305264,101179,Unii Lubelskiej,Unia Lubelska,"[['sg', 'sg', 'sg']]","[['gen', 'loc', 'dat']]",['agreement'],['Unia'],"[('Unii', 'Lubelskiej')]",agreement,Unia,sg,gen
587,352314,101179,drogi wojewódzkiej,droga wojewódzka,['sg'],['gen'],['agreement'],['droga'],"[('drogi', 'wojewódzkiej')]",agreement,droga,sg,gen
588,52475,101179,Ronda Lubelskiego Lipca '80,Rondo Lubelskiego Lipca '80,"['sg', ['sg', 'sg'], ['sg', 'sg']]","['gen', ['acc', 'gen'], ['acc', 'gen']]","['agreement', 'agreement', 'government']","['Rondo', 'Lipca', 'Lipca']","[('Ronda', 'Lubelskiego'), ('Lubelskiego', 'Lipca'), ('Lipca', ""'80"")]",government,Lipca,sg,acc
588,52475,101179,Ronda Lubelskiego Lipca '80,Rondo Lubelskiego Lipca '80,"['sg', ['sg', 'sg'], ['sg', 'sg']]","['gen', ['acc', 'gen'], ['acc', 'gen']]","['agreement', 'agreement', 'government']","['Rondo', 'Lipca', 'Lipca']","[('Ronda', 'Lubelskiego'), ('Lubelskiego', 'Lipca'), ('Lipca', ""'80"")]",government,Lipca,sg,gen
589,310423,101179,Lubelskiego Lipca '80,Lubelski Lipiec '80,"[['sg', 'sg'], ['sg', 'sg']]","[['acc', 'gen'], ['acc', 'gen']]","['agreement', 'government']","['Lipiec', 'Lipiec']","[('Lubelskiego', 'Lipca'), ('Lipca', ""'80"")]",government,Lipiec,sg,acc
589,310423,101179,Lubelskiego Lipca '80,Lubelski Lipiec '80,"[['sg', 'sg'], ['sg', 'sg']]","[['acc', 'gen'], ['acc', 'gen']]","['agreement', 'government']","['Lipiec', 'Lipiec']","[('Lubelskiego', 'Lipca'), ('Lipca', ""'80"")]",government,Lipiec,sg,gen
592,52488,101179,Królestwem Polskim,Królestwo Polskie,['sg'],['inst'],['agreement'],['Królestwo'],"[('Królestwem', 'Polskim')]",agreement,Królestwo,sg,inst
593,304948,101179,Władysława Gomułki,Władysław Gomułka,['sg'],['gen'],['agreement'],['Władysław'],"[('Władysława', 'Gomułki')]",agreement,Władysław,sg,gen
594,52489,101179,Wielkim Księstwem Litewskim,Wielkie Księstwo Litewskie,"['sg', 'sg']","['inst', 'inst']","['agreement', 'agreement']","['Wielkie', 'Księstwo']","[('Wielkim', 'Księstwem'), ('Księstwem', 'Litewskim')]",agreement,Wielkie,sg,inst
595,352313,101179,głównych ulic,główna ulica,['pl'],['gen'],['agreement'],['ulica'],"[('głównych', 'ulic')]",agreement,ulica,pl,gen
597,304945,101179,Romana Dmowskiego,Roman Dmowski,"[['sg', 'sg']]","[['acc', 'gen']]",['agreement'],['Roman'],"[('Romana', 'Dmowskiego')]",agreement,Roman,sg,acc
597,304945,101179,Romana Dmowskiego,Roman Dmowski,"[['sg', 'sg']]","[['acc', 'gen']]",['agreement'],['Roman'],"[('Romana', 'Dmowskiego')]",agreement,Roman,sg,gen
599,350372,101179,Rondem Lubelskiego Lipca '80,Rondo Lubelskiego Lipca '80,"[['sg'], ['sg', 'sg'], ['sg', 'sg']]","[['inst'], ['acc', 'gen'], ['acc', 'gen']]","['government', 'agreement', 'government']","['Rondo', 'Lipca', 'Lipca']","[('Rondem', 'Lubelskiego'), ('Lubelskiego', 'Lipca'), ('Lipca', ""'80"")]",government,Rondo,sg,inst
602,52484,101179,Szpitala Klinicznego,szpital Kliniczny,['sg'],['gen'],['agreement'],['szpital'],"[('Szpitala', 'Klinicznego')]",agreement,szpital,sg,gen
607,307107,101182,Pucharu Narodów Afryki,Puchar Narodów Afryki,"[['sg'], None]","[['gen'], None]","['government', None]","['Puchar', None]","[('Pucharu', 'Narodów'), ('Narodów', 'Afryki')]",government,Puchar,sg,gen
610,307108,101182,Mistrzostw Świata 2010,Mistrzostwa Świata 2010,"[['pl'], ['sg', 'sg']]","[['gen'], ['acc', 'gen']]","['government', 'government']","['Mistrzostwa', 'Świata']","[('Mistrzostw', 'Świata'), ('Świata', '2010')]",government,Mistrzostwa,pl,gen
613,52523,101182,Arabią Saudyjską,Arabia Saudyjska,['sg'],['inst'],['agreement'],['Arabia'],"[('Arabią', 'Saudyjską')]",agreement,Arabia,sg,inst
614,307101,101182,Spartą Rotterdam,Sparta Rotterdam,['sg'],['acc'],['agreement'],['Sparta'],"[('Spartą', 'Rotterdam')]",agreement,Sparta,sg,acc
615,307106,101182,Pucharu UEFA,Puchar UEFA,[['sg']],[['gen']],['government'],['Puchar'],"[('Pucharu', 'UEFA')]",government,Puchar,sg,gen
617,352333,101185,sekcję lekkoatletyczną,sekcja lekkoatletyczna,['sg'],['acc'],['agreement'],['sekcja'],"[('sekcję', 'lekkoatletyczną')]",agreement,sekcja,sg,acc
619,307109,101185,Pucharze Polski,Puchar Polski,['sg'],['voc'],['agreement'],['Puchar'],"[('Pucharze', 'Polski')]",agreement,Puchar,sg,voc
622,58834,101186,Wydziału Radia i Telewizji,Wydział Radia i Telewizji,"['sg', 'sg']","['gen', 'gen']","['agreement', 'agreement']","['Wydział', 'Radia']","[('Wydziału', 'Radia'), ('Radia', 'Telewizji')]",agreement,Wydział,sg,gen
623,52556,101186,Rinke Rooyens'em,Rinke Rooyens,"[['sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'pl']]","[['inst', 'acc', 'loc', 'nom', 'nom', 'nom', 'gen', 'dat', 'voc', 'voc', 'acc', 'voc']]",['agreement'],['Rinke'],"[('Rinke', ""Rooyens'em"")]",agreement,Rinke,sg.pl,inst
623,52556,101186,Rinke Rooyens'em,Rinke Rooyens,"[['sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'pl']]","[['inst', 'acc', 'loc', 'nom', 'nom', 'nom', 'gen', 'dat', 'voc', 'voc', 'acc', 'voc']]",['agreement'],['Rinke'],"[('Rinke', ""Rooyens'em"")]",agreement,Rinke,sg.pl,acc
623,52556,101186,Rinke Rooyens'em,Rinke Rooyens,"[['sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'pl']]","[['inst', 'acc', 'loc', 'nom', 'nom', 'nom', 'gen', 'dat', 'voc', 'voc', 'acc', 'voc']]",['agreement'],['Rinke'],"[('Rinke', ""Rooyens'em"")]",agreement,Rinke,sg.pl,loc
623,52556,101186,Rinke Rooyens'em,Rinke Rooyens,"[['sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'pl']]","[['inst', 'acc', 'loc', 'nom', 'nom', 'nom', 'gen', 'dat', 'voc', 'voc', 'acc', 'voc']]",['agreement'],['Rinke'],"[('Rinke', ""Rooyens'em"")]",agreement,Rinke,sg,nom
623,52556,101186,Rinke Rooyens'em,Rinke Rooyens,"[['sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'pl']]","[['inst', 'acc', 'loc', 'nom', 'nom', 'nom', 'gen', 'dat', 'voc', 'voc', 'acc', 'voc']]",['agreement'],['Rinke'],"[('Rinke', ""Rooyens'em"")]",agreement,Rinke,pl,nom
623,52556,101186,Rinke Rooyens'em,Rinke Rooyens,"[['sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'pl']]","[['inst', 'acc', 'loc', 'nom', 'nom', 'nom', 'gen', 'dat', 'voc', 'voc', 'acc', 'voc']]",['agreement'],['Rinke'],"[('Rinke', ""Rooyens'em"")]",agreement,Rinke,sg.pl,nom
623,52556,101186,Rinke Rooyens'em,Rinke Rooyens,"[['sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'pl']]","[['inst', 'acc', 'loc', 'nom', 'nom', 'nom', 'gen', 'dat', 'voc', 'voc', 'acc', 'voc']]",['agreement'],['Rinke'],"[('Rinke', ""Rooyens'em"")]",agreement,Rinke,sg.pl,gen
623,52556,101186,Rinke Rooyens'em,Rinke Rooyens,"[['sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'pl']]","[['inst', 'acc', 'loc', 'nom', 'nom', 'nom', 'gen', 'dat', 'voc', 'voc', 'acc', 'voc']]",['agreement'],['Rinke'],"[('Rinke', ""Rooyens'em"")]",agreement,Rinke,sg.pl,dat
623,52556,101186,Rinke Rooyens'em,Rinke Rooyens,"[['sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'pl']]","[['inst', 'acc', 'loc', 'nom', 'nom', 'nom', 'gen', 'dat', 'voc', 'voc', 'acc', 'voc']]",['agreement'],['Rinke'],"[('Rinke', ""Rooyens'em"")]",agreement,Rinke,sg.pl,voc
623,52556,101186,Rinke Rooyens'em,Rinke Rooyens,"[['sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'pl']]","[['inst', 'acc', 'loc', 'nom', 'nom', 'nom', 'gen', 'dat', 'voc', 'voc', 'acc', 'voc']]",['agreement'],['Rinke'],"[('Rinke', ""Rooyens'em"")]",agreement,Rinke,sg,voc
623,52556,101186,Rinke Rooyens'em,Rinke Rooyens,"[['sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'pl']]","[['inst', 'acc', 'loc', 'nom', 'nom', 'nom', 'gen', 'dat', 'voc', 'voc', 'acc', 'voc']]",['agreement'],['Rinke'],"[('Rinke', ""Rooyens'em"")]",agreement,Rinke,pl,acc
623,52556,101186,Rinke Rooyens'em,Rinke Rooyens,"[['sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg', 'pl', 'pl']]","[['inst', 'acc', 'loc', 'nom', 'nom', 'nom', 'gen', 'dat', 'voc', 'voc', 'acc', 'voc']]",['agreement'],['Rinke'],"[('Rinke', ""Rooyens'em"")]",agreement,Rinke,pl,voc
624,52581,101186,Uniwersytetu Śląskiego,Uniwersytet Śląski,['sg'],['gen'],['agreement'],['Uniwersytet'],"[('Uniwersytetu', 'Śląskiego')]",agreement,Uniwersytet,sg,gen
625,58835,101186,Wydziale Budowy Maszyn i Lotnictwa,Wydział Budowy Maszyn i Lotnictwa,"[['sg', 'sg'], None, None]","[['voc', 'loc'], None, None]","['government', None, None]","['Wydział', None, None]","[('Wydziale', 'Budowy'), ('Budowy', 'Maszyn'), ('Maszyn', 'Lotnictwa')]",government,Wydział,sg,voc
625,58835,101186,Wydziale Budowy Maszyn i Lotnictwa,Wydział Budowy Maszyn i Lotnictwa,"[['sg', 'sg'], None, None]","[['voc', 'loc'], None, None]","['government', None, None]","['Wydział', None, None]","[('Wydziale', 'Budowy'), ('Budowy', 'Maszyn'), ('Maszyn', 'Lotnictwa')]",government,Wydział,sg,loc
627,52582,101186,Politechniki Rzeszowskiej,Politechnika Rzeszowska,['sg'],['gen'],['agreement'],['Politechnika'],"[('Politechniki', 'Rzeszowskiej')]",agreement,Politechnika,sg,gen
643,352484,101187,systemem informatycznym,system informatyczny,['sg'],['inst'],['agreement'],['system'],"[('systemem', 'informatycznym')]",agreement,system,sg,inst
644,63239,101187,Narodowym Bankiem Polskim,Narodowy Bank Polski,"['sg', 'sg']","['inst', 'inst']","['agreement', 'agreement']","['Bank', 'Bank']","[('Narodowym', 'Bankiem'), ('Bankiem', 'Polskim')]",agreement,Bank,sg,inst
645,63238,101187,Skarbu Państwa,Skarb Państwa,['sg'],['gen'],['agreement'],['Skarb'],"[('Skarbu', 'Państwa')]",agreement,Skarb,sg,gen
646,63234,101187,Służbie Celnej,Służba Celna,"[['sg', 'sg']]","[['loc', 'dat']]",['agreement'],['Służba'],"[('Służbie', 'Celnej')]",agreement,Służba,sg,loc
646,63234,101187,Służbie Celnej,Służba Celna,"[['sg', 'sg']]","[['loc', 'dat']]",['agreement'],['Służba'],"[('Służbie', 'Celnej')]",agreement,Służba,sg,dat
647,352485,101187,Polskiej Służby Celnej,Polska Służba Celna,"['sg', 'sg']","['gen', 'gen']","['agreement', 'agreement']","['Polska', 'Służba']","[('Polskiej', 'Służby'), ('Służby', 'Celnej')]",agreement,Polska,sg,gen
650,352493,101188,fundamentalizmu islamskiego,fundamentalizm islamski,['sg'],['gen'],['agreement'],['fundamentalizm'],"[('fundamentalizmu', 'islamskiego')]",agreement,fundamentalizm,sg,gen
657,307135,101189,Espanyolem Barcelona,Espanyol Barcelona,[['sg']],[['nom']],['agreement'],['Barcelona'],"[('Espanyolem', 'Barcelona')]",agreement,Barcelona,sg,nom
660,350678,101190,igrzyskach olimpijskich,igrzyska olimpijskie,['pl'],['loc'],['agreement'],['igrzyska'],"[('igrzyskach', 'olimpijskich')]",agreement,igrzyska,pl,loc
661,352506,101190,rzucie oszczepem,rzut oszczepem,"[['sg', 'sg']]","[['voc', 'loc']]",['government'],['rzut'],"[('rzucie', 'oszczepem')]",government,rzut,sg,voc
661,352506,101190,rzucie oszczepem,rzut oszczepem,"[['sg', 'sg']]","[['voc', 'loc']]",['government'],['rzut'],"[('rzucie', 'oszczepem')]",government,rzut,sg,loc
664,352507,101191,nauki czytania,nauka czytania,"[['pl', 'pl', 'sg', 'pl']]","[['acc', 'voc', 'gen', 'nom']]",['agreement'],['nauka'],"[('nauki', 'czytania')]",agreement,nauka,pl,acc
664,352507,101191,nauki czytania,nauka czytania,"[['pl', 'pl', 'sg', 'pl']]","[['acc', 'voc', 'gen', 'nom']]",['agreement'],['nauka'],"[('nauki', 'czytania')]",agreement,nauka,pl,voc
664,352507,101191,nauki czytania,nauka czytania,"[['pl', 'pl', 'sg', 'pl']]","[['acc', 'voc', 'gen', 'nom']]",['agreement'],['nauka'],"[('nauki', 'czytania')]",agreement,nauka,sg,gen
664,352507,101191,nauki czytania,nauka czytania,"[['pl', 'pl', 'sg', 'pl']]","[['acc', 'voc', 'gen', 'nom']]",['agreement'],['nauka'],"[('nauki', 'czytania')]",agreement,nauka,pl,nom
666,352512,101191,podstawowych środków komunikacji społecznej,podstawowy środek komunikacji społecznej,"['pl', 'pl', ['sg', 'sg', 'sg']]","['gen', 'gen', ['loc', 'dat', 'gen']]","['agreement', 'agreement', 'agreement']","['środek', 'środek', 'komunikacji']","[('podstawowych', 'środków'), ('środków', 'komunikacji'), ('komunikacji', 'społecznej')]",agreement,środek,pl,gen
669,307139,101192,I wojny światowej,I wojna światowa,"[['pl', 'pl', 'sg', 'pl'], 'sg']","[['acc', 'voc', 'gen', 'nom'], 'gen']","['government', 'agreement']","['wojna', 'wojna']","[('I', 'wojny'), ('wojny', 'światowej')]",government,wojna,pl,acc
669,307139,101192,I wojny światowej,I wojna światowa,"[['pl', 'pl', 'sg', 'pl'], 'sg']","[['acc', 'voc', 'gen', 'nom'], 'gen']","['government', 'agreement']","['wojna', 'wojna']","[('I', 'wojny'), ('wojny', 'światowej')]",government,wojna,pl,voc
669,307139,101192,I wojny światowej,I wojna światowa,"[['pl', 'pl', 'sg', 'pl'], 'sg']","[['acc', 'voc', 'gen', 'nom'], 'gen']","['government', 'agreement']","['wojna', 'wojna']","[('I', 'wojny'), ('wojny', 'światowej')]",government,wojna,sg,gen
669,307139,101192,I wojny światowej,I wojna światowa,"[['pl', 'pl', 'sg', 'pl'], 'sg']","[['acc', 'voc', 'gen', 'nom'], 'gen']","['government', 'agreement']","['wojna', 'wojna']","[('I', 'wojny'), ('wojny', 'światowej')]",government,wojna,pl,nom
673,352521,101193,stanie Kalifornia,stan Kalifornia,['sg'],['nom'],['agreement'],['Kalifornia'],"[('stanie', 'Kalifornia')]",agreement,Kalifornia,sg,nom
674,352522,101193,hrabstwie Los Angeles,hrabstwo Los Angeles,"[['sg'], ['sg.pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl']]","[['loc'], ['inst', 'acc', 'loc', 'nom', 'gen', 'dat', 'voc']]","['government', 'agreement']","['hrabstwo', 'Los']","[('hrabstwie', 'Los'), ('Los', 'Angeles')]",government,hrabstwo,sg,loc
678,325099,101194,Wydziale Prawno-Ekonomicznym Uniwersytetu Poznańskiego,Wydział Prawno-Ekonomiczny Uniwersytetu Poznańskiego,"['sg', ['sg', 'sg', 'pl'], 'sg']","['loc', ['inst', 'loc', 'dat'], 'gen']","['agreement', 'government', 'agreement']","['Wydział', 'Prawno-Ekonomiczny', 'Uniwersytetu']","[('Wydziale', 'Prawno-Ekonomicznym'), ('Prawno-Ekonomicznym', 'Uniwersytetu'), ('Uniwersytetu', 'Poznańskiego')]",government,Prawno-Ekonomiczny,sg,inst
678,325099,101194,Wydziale Prawno-Ekonomicznym Uniwersytetu Poznańskiego,Wydział Prawno-Ekonomiczny Uniwersytetu Poznańskiego,"['sg', ['sg', 'sg', 'pl'], 'sg']","['loc', ['inst', 'loc', 'dat'], 'gen']","['agreement', 'government', 'agreement']","['Wydział', 'Prawno-Ekonomiczny', 'Uniwersytetu']","[('Wydziale', 'Prawno-Ekonomicznym'), ('Prawno-Ekonomicznym', 'Uniwersytetu'), ('Uniwersytetu', 'Poznańskiego')]",government,Prawno-Ekonomiczny,sg,loc
678,325099,101194,Wydziale Prawno-Ekonomicznym Uniwersytetu Poznańskiego,Wydział Prawno-Ekonomiczny Uniwersytetu Poznańskiego,"['sg', ['sg', 'sg', 'pl'], 'sg']","['loc', ['inst', 'loc', 'dat'], 'gen']","['agreement', 'government', 'agreement']","['Wydział', 'Prawno-Ekonomiczny', 'Uniwersytetu']","[('Wydziale', 'Prawno-Ekonomicznym'), ('Prawno-Ekonomicznym', 'Uniwersytetu'), ('Uniwersytetu', 'Poznańskiego')]",government,Prawno-Ekonomiczny,pl,dat
679,53257,101194,Wydziale Prawno-Ekonomicznym,Wydział Prawno-Ekonomiczny,['sg'],['loc'],['agreement'],['Wydział'],"[('Wydziale', 'Prawno-Ekonomicznym')]",agreement,Wydział,sg,loc
